Age,Gender,Marital_Status,Occupation,Monthly_Income,Educational_Qualifications,Family_size,Latitude,Longitude,Pin_code,Medium,Meal,Preference,Ease_and_convenient,Time_saving,More_Offers_and_Discount,Health_Concern,Poor_Hygiene,Bad_past_experience,Unaffordable,Order_Time,Maximum_wait_time,Buy_again
20,Female,Single,Student,No Income,Post Graduate,4,12.9766,77.5993,560001,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Weekend (Sat & Sun),30 minutes,Yes
24,Female,Single,Student,Below Rs.10000,Graduate,3,12.977,77.5773,560009,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Anytime (Mon-Sun),30 minutes,Yes
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9551,77.6593,560017,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Anytime (Mon-Sun),45 minutes,Yes
22,Female,Single,Student,No Income,Graduate,6,12.9473,77.5616,560019,Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Anytime (Mon-Sun),30 minutes,Yes
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,12.985,77.5533,560010,Walk-in,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Weekend (Sat & Sun),30 minutes,Yes
27,Female,Married,Employee,More than 50000,Post Graduate,2,12.9299,77.6848,560103,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Anytime (Mon-Sun),45 minutes,Yes
22,Male,Single,Student,No Income,Graduate,3,12.977,77.5773,560009,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
24,Female,Single,Student,No Income,Post Graduate,3,12.9828,77.6131,560042,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Weekend (Sat & Sun),45 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,2,12.9766,77.5993,560001,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Anytime (Mon-Sun),30 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,4,12.9854,77.7081,560048,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Weekend (Sat & Sun),45 minutes,Yes
22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Anytime (Mon-Sun),45 minutes,Yes
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.977,77.5773,560009,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Weekend (Sat & Sun),45 minutes,Yes
23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Walk-in,Snacks,Non Veg foods (Lunch / Dinner),Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Weekend (Sat & Sun),30 minutes,Yes
21,Male,Single,Student,No Income,Graduate,4,12.977,77.5773,560009,Walk-in,Dinner,Non Veg foods (Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Weekend (Sat & Sun),30 minutes,Yes
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,12.9438,77.5738,560004,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Anytime (Mon-Sun),45 minutes,Yes
24,Female,Single,Student,No Income,Post Graduate,6,12.8893,77.6399,560068,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Agree,Neutral,Strongly agree,Disagree,Disagree,Disagree,Anytime (Mon-Sun),30 minutes,Yes
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9783,77.6408,560038,Walk-in,Dinner,Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Anytime (Mon-Sun),60 minutes,Yes
23,Female,Single,Student,No Income,Graduate,3,12.982,77.6256,560008,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
